YEAR,TEAM NO,TEAM,SEED,ROUND,TR RANK,TR RATING,V 1-25 WINS,V 1-25 LOSS,V 26-50 WINS,V 26-50 LOSS,V 51-100 WINS,V 51-100 LOSS,HI,LO,LAST
2023,964,Providence,11,64,48,11.9,2,0,1,1,3,1,28,298,48
2023,963,Purdue,1,64,12,17.6,3,2,4,0,2,0,11,119,12
2023,962,Saint Mary's,5,32,16,16.6,1,0,0,0,4,1,16,90,16
2023,961,San Diego St.,5,2,34,13.5,0,0,1,0,3,1,20,106,34
2023,960,Southeast Missouri St.,16,68,276,-6.1,0,0,0,0,0,0,207,323,276
2023,959,TCU,6,32,21,15.3,2,3,3,0,2,0,18,326,21
2023,958,Tennessee,4,16,2,25.1,3,1,1,0,2,1,1,30,2
2023,957,Texas,2,8,5,20.6,6,1,2,0,3,0,4,79,5
2023,956,Texas A&M,7,64,24,14.9,3,0,2,0,2,0,16,59,24
2023,955,Texas A&M Corpus Chris,16,64,212,-2.7,0,0,0,0,0,0,94,269,211
2023,954,Texas Southern,16,68,322,-9.9,0,0,0,0,1,1,135,330,322
2023,953,UC Santa Barbara,14,64,182,-0.5,0,0,0,0,0,0,103,348,182
2023,952,UCLA,2,16,4,20.9,1,0,4,0,3,0,4,38,4
2023,951,UNC Asheville,15,64,136,2.4,0,0,0,0,0,0,134,181,136
2023,950,USC,10,64,55,11.1,1,1,4,0,3,0,48,339,55
2023,949,Utah St.,10,64,46,12,0,0,1,1,5,0,23,65,46
2023,948,VCU,12,64,74,9,0,0,0,0,2,1,72,193,74
2023,947,Vermont,15,64,95,6.3,0,0,0,0,2,1,79,226,95
2023,946,Virginia,4,64,37,12.9,1,1,4,0,1,0,16,125,37
2023,945,West Virginia,9,64,27,14.6,3,3,2,0,2,1,20,87,27
2023,944,Xavier,3,16,26,14.6,2,1,3,0,3,1,17,74,26
2022,943,Akron,13,64,165,0.4,0,0,0,0,0,0,15,169,165
2022,942,Alabama,6,64,25,14.3,5,2,2,0,1,1,7,46,25
2022,941,Arizona,1,16,2,23.2,1,0,1,0,5,0,1,41,2
2022,940,Arkansas,4,8,20,15.8,4,0,1,0,4,1,16,102,20
2022,939,Auburn,2,32,7,21.2,3,0,3,0,4,0,4,44,7
2022,938,Baylor,1,32,4,21.8,3,1,1,1,4,0,2,137,4
2022,937,Boise St.,8,64,80,7.6,0,0,1,1,4,1,27,164,80
2022,936,Bryant,16,68,132,3.1,0,0,0,0,0,0,9,182,132
2022,935,Cal St. Fullerton,15,64,199,-1.7,0,0,0,0,1,1,135,267,199
2022,934,Chattanooga,13,64,82,7.5,0,0,0,0,2,0,36,172,82
2022,933,Colgate,14,64,110,5.2,0,0,0,0,0,0,56,191,110
2022,932,Colorado St.,6,64,65,8.8,1,0,1,0,3,1,15,128,65
2022,931,Connecticut,5,64,17,16.3,1,0,3,1,2,1,3,23,17
2022,930,Creighton,9,32,66,8.8,2,0,1,2,2,2,60,324,66
2022,929,Davidson,10,64,64,8.9,0,0,1,0,0,1,31,95,64
2022,928,Delaware,15,64,210,-2.2,0,0,0,0,0,0,179,280,210
2022,927,Duke,2,4,19,15.9,1,0,1,1,3,2,13,136,19
2022,926,Georgia St.,16,64,147,1.9,0,0,0,0,0,0,15,168,147
2022,925,Gonzaga,1,16,1,23.9,2,0,1,0,2,0,1,28,1
2022,924,Houston,5,8,3,22.1,0,1,1,0,3,0,3,93,3
2022,923,Illinois,4,32,15,18.3,2,3,3,0,4,0,6,56,15
2022,922,Indiana,12,64,35,13,2,1,0,2,4,1,22,316,34
2022,921,Iowa,5,64,14,19.2,1,2,1,1,4,0,8,48,14
2022,920,Iowa St.,11,16,60,9.4,3,2,1,1,1,2,50,181,60
2022,919,Jacksonville St.,15,64,208,-2.2,0,0,0,0,0,0,117,247,208
2022,918,Kansas,1,1,12,19.4,3,1,2,0,4,0,5,135,12
2022,917,Kentucky,2,64,6,21.4,3,0,2,0,1,0,1,138,6
2022,916,Longwood,14,64,138,2.6,0,0,0,0,0,0,72,275,138
2022,915,Loyola Chicago,10,64,39,12.3,0,0,0,0,2,1,1,62,39
2022,914,LSU,6,64,13,19.3,3,1,1,0,2,0,1,42,13
2022,913,Marquette,9,64,47,11.5,2,2,3,0,2,1,40,306,47
2022,912,Memphis,9,32,16,16.6,2,0,1,2,2,0,11,60,16
2022,911,Miami FL,10,8,72,8.2,1,0,1,2,2,3,62,184,72
2022,910,Michigan,11,16,28,13.8,2,3,1,1,3,1,2,111,28
2022,909,Michigan St.,7,32,24,14.4,1,1,3,1,3,1,3,139,24
2022,908,Montana St.,14,64,177,-0.6,0,0,0,0,0,0,121,279,177
2022,907,Murray St.,7,32,27,13.8,0,0,0,0,3,0,27,162,27
2022,906,New Mexico St.,12,32,122,3.8,0,0,0,0,2,0,43,229,122
2022,905,Norfolk St.,16,64,112,5,0,0,0,0,0,0,87,330,112
2022,904,North Carolina,8,2,32,13.3,0,1,2,0,4,0,20,177,32
2022,903,Notre Dame,11,32,41,12,1,1,1,0,3,0,36,196,41
2022,902,Ohio St.,7,32,23,14.5,2,1,2,1,4,0,9,131,23
2022,901,Providence,4,16,45,11.8,1,1,4,0,3,0,42,126,45
2022,900,Purdue,3,16,11,20.2,3,0,2,1,4,0,2,31,11
2022,899,Richmond,12,32,100,5.9,0,0,2,0,1,3,64,300,99
2022,898,Rutgers,11,68,53,10.2,5,0,1,1,2,1,47,315,53
2022,897,Saint Mary's,5,32,21,15,1,0,1,0,3,0,21,113,21
2022,896,Saint Peter's,15,8,160,0.6,0,0,0,0,0,1,156,341,160
2022,895,San Diego St.,8,64,34,13,1,0,0,0,4,1,30,154,35
2022,894,San Francisco,10,64,46,11.6,0,2,0,0,3,1,14,90,46
2022,893,Seton Hall,8,64,40,12.1,2,1,1,1,3,1,1,117,40
2022,892,South Dakota St.,13,64,48,11.3,0,0,0,0,1,0,38,123,48
2022,891,TCU,9,32,54,9.9,3,2,2,0,1,2,49,140,54
2022,890,Tennessee,3,32,8,21.1,5,0,1,0,3,0,5,70,8
2022,889,Texas,6,32,18,16.3,2,2,2,0,3,1,5,44,18
2022,888,Texas A&M Corpus Chris,16,68,285,-8,0,0,0,0,0,0,106,342,285
2022,887,Texas Southern,16,64,227,-3.1,0,0,0,0,0,0,83,236,227
2022,886,Texas Tech,3,16,10,21.1,3,0,3,0,4,0,6,100,10
2022,885,UAB,12,64,29,13.8,0,0,0,0,1,2,24,91,29
2022,884,UCLA,4,16,9,21.1,2,0,0,1,4,0,3,26,9
2022,883,USC,7,64,59,9.4,1,1,0,1,4,0,4,61,59
2022,882,Vermont,13,64,43,11.9,0,0,0,0,0,0,42,184,43
2022,881,Villanova,2,4,5,21.4,1,0,3,1,3,0,1,28,5
2022,880,Virginia Tech,11,64,26,14,0,1,1,1,2,1,23,47,26
2022,879,Wisconsin,3,32,50,10.7,3,1,3,1,2,1,35,83,50
2022,878,Wright St.,16,64,170,0.1,0,0,0,0,0,0,99,309,170
2022,877,Wyoming,12,68,57,9.6,0,0,0,1,3,0,7,161,57
2022,876,Yale,14,64,146,1.9,0,0,0,0,0,0,45,160,146
