YEAR,TEAM NO,TEAM,SEED,ROUND,PRESEASON KADJ EM RANK,PRESEASON KADJ EM,PRESEASON KADJ O,PRESEASON KADJ O RANK,PRESEASON KADJ D,PRESEASON KADJ D RANK,PRESEASON KADJ T,PRESEASON KADJ T RANK,KADJ EM RANK CHANGE,KADJ EM CHANGE,KADJ T CHANGE
2025,1097,San Diego St.,11,68,48,15.03,107.2,77,92.1,20,69.6,300,2,1.24,-3.6
2025,1096,SIU Edwardsville,16,64,321,-12.85,94.5,317,107.4,317,71.1,167,104,8.53,-5.3
2025,1095,St. John's,2,32,19,19.82,111.7,25,91.9,17,72.1,87,8,6.55,-2
2025,1094,Tennessee,2,8,13,22.12,111.2,35,89,4,71.4,142,8,9.03,-7.8
2025,1093,Texas,11,68,18,20.11,111.4,28,91.3,11,71,178,-26,-2.96,-3.7
2025,1092,Texas A&M,4,32,16,21.46,114.1,13,92.6,25,69.8,284,-1,2.62,-3.7
2025,1091,Texas Tech,3,8,14,22.1,112.4,18,90.3,7,68.5,337,7,5.95,-3.1
2025,1090,Troy,14,64,126,3.5,101.3,170,97.8,92,72.2,83,28,3.38,-5.9
2025,1089,UC San Diego,12,64,129,2.96,104.6,111,101.6,162,69.9,275,93,15.81,-4.3
2025,1088,UCLA,7,32,28,18.26,111.3,32,93.1,29,67.9,354,1,3.5,-3.1
2025,1087,UNC Wilmington,14,64,156,-0.09,101.8,157,101.9,167,69.5,308,51,5.23,-4.2
2025,1086,Utah St.,10,64,72,11.36,107.9,65,96.6,79,71.6,128,20,3.87,-4
2025,1085,Vanderbilt,10,64,95,8.17,107.3,76,99.1,111,72.4,75,46,7.99,-2.9
2025,1084,VCU,11,64,41,15.76,109.2,54,93.4,32,70,267,11,4.85,-3.9
2025,1083,Wisconsin,3,32,47,15.17,110,45,94.8,52,68.9,332,34,10.8,-1.4
2025,1082,Wofford,15,64,110,4.53,107.7,69,103.1,201,69.6,298,-10,-0.37,-5.6
2025,1081,Xavier,11,64,33,17.89,111.9,23,94,41,73.1,39,-10,-0.69,-4.1
2025,1080,Yale,13,64,109,5.09,103.6,125,98.5,102,69.5,309,36,5.96,-2.3
2024,1079,Akron,14,64,102,4.86,101.1,124,96.3,100,69.6,287,-20,-0.27,-3.6
2024,1078,Alabama,4,4,10,22.43,110.5,14,88,11,75.4,1,-4,0.53,-2.9
2024,1077,Arizona,2,16,6,23.27,112.6,4,89.4,23,74.7,4,0,3.28,-2.5
2024,1076,Auburn,4,64,15,21.02,109.6,16,88.6,15,71.7,126,11,6.97,-1.7
2024,1075,Baylor,3,32,7,23.13,112.1,5,89,20,70.3,241,-8,-1.22,-4.5
2024,1074,Boise St.,10,68,63,11.88,105.9,51,94,70,70.3,242,19,4.09,-3.6
2024,1073,BYU,6,64,36,16.6,107.7,35,91.1,39,72.4,71,18,3.36,-3.2
2024,1072,Clemson,6,8,51,13.91,106.4,45,92.5,53,70.9,187,32,5.52,-4.6
2024,1071,Colgate,14,64,133,2.65,103.3,86,100.6,206,71.4,149,-17,-1.15,-5
2024,1070,College of Charleston,13,64,97,5.5,103.7,78,98.2,142,74.3,11,-4,2.02,-4
2024,1069,Colorado,10,32,28,18.12,108.6,24,90.5,31,71.7,125,4,0.91,-4.1
2024,1068,Colorado St.,10,64,74,9.51,107,39,97.5,122,70.3,236,38,7.5,-4.2
