YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R PACE RANK,R PACE,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM,STREM RANK 2
2023,992,Howard,16,64,236,0.5254,223,0.682,196,103.6,209,107,210,-3.4,96,69,318,0.5173,161,76.4,151,99.31,185,214,-22.91,152
2023,991,Illinois,9,64,36,0.8394,47,0.8747,54,112.6,35,95.9,33,16.7,71,69.4,55,0.7361,51,87.17,25,85.27,28,36,1.9,24
2023,990,Indiana,4,32,27,0.8517,44,0.878,29,114.9,41,97.1,30,17.8,142,68.1,14,0.7695,27,90,43,88.61,33,33,1.39,28
2023,989,Iona,13,64,62,0.8016,52,0.8727,78,110.9,67,99.1,73,11.8,103,68.9,229,0.5691,67,84.69,55,90.73,63,75,-6.04,60
2023,988,Iowa,8,64,40,0.8349,51,0.8728,3,121.2,171,105.1,36,16.1,65,69.5,29,0.7552,5,101.01,134,98.3,82,40,2.71,22
2023,987,Iowa St.,6,64,29,0.8481,26,0.8936,95,109.7,8,91.1,27,18.6,328,64.3,7,0.7907,124,79.48,17,83.63,11,18,-4.15,51
2023,986,Kansas,1,32,8,0.934,9,0.9433,27,115.1,9,91.3,10,23.8,79,69.3,1,0.8141,20,92.08,5,78.42,6,10,13.66,8
2023,985,Kansas St.,3,8,32,0.8455,32,0.8891,42,113.4,25,94.4,23,19,39,70.4,9,0.7845,34,89.54,9,81.46,13,27,8.08,13
2023,984,Kennesaw St.,14,64,116,0.6998,100,0.8235,149,106.2,118,102.8,126,3.4,123,68.5,193,0.5918,135,78.19,104,95.56,109,128,-17.37,113
2023,983,Kent St.,13,64,64,0.7972,54,0.8722,107,108.5,39,96.8,75,11.7,142,68.1,195,0.5914,101,81.41,29,86.27,45,74,-4.86,56
2023,982,Kentucky,6,32,25,0.8612,43,0.8783,15,117.7,68,99.2,28,18.5,246,66.1,49,0.7387,19,92.14,88,94.26,52,23,-2.12,43
2023,981,Louisiana Lafayette,13,64,95,0.7396,95,0.8287,67,111.6,140,103.7,95,7.9,131,68.4,160,0.6162,57,86.5,136,98.37,106,92,-11.87,84
2023,980,Marquette,2,32,9,0.9321,4,0.9669,8,119.4,45,97.3,12,22.1,137,68.3,39,0.7491,8,99.07,34,87.44,18,11,11.63,11
2023,979,Maryland,8,32,30,0.8467,27,0.8922,36,113.7,29,95.1,27,18.6,318,64.5,62,0.7317,74,84.08,66,91.65,36,16,-7.57,65
2023,978,Memphis,8,64,11,0.913,10,0.9359,22,115.8,37,96.1,19,19.7,17,71.8,37,0.7496,16,95.48,10,81.85,14,28,13.63,9
2023,977,Miami FL,5,4,26,0.8525,28,0.8915,11,118.8,136,103.5,42,15.3,96,69,85,0.7082,12,96.43,118,96.83,78,47,-0.4,34
2023,976,Michigan St.,7,16,37,0.839,45,0.8769,36,113.7,38,96.7,32,17,303,65,6,0.7932,73,84.08,69,91.87,42,30,-7.79,67
2023,975,Mississippi St.,11,68,58,0.8037,61,0.8649,161,105.5,9,91.3,52,14.2,334,63.9,67,0.7257,212,72.27,23,84.38,30,46,-12.11,85
2023,974,Missouri,7,32,45,0.8296,42,0.8783,8,119.4,167,104.9,48,14.5,96,69,57,0.7354,7,99.96,132,98.13,85,54,1.83,26
2023,973,Montana St.,14,64,96,0.7384,96,0.8279,167,105,73,99.6,113,5.4,216,66.5,203,0.5881,189,74.49,83,93.88,90,109,-19.39,128
2023,972,Nevada,11,68,67,0.7948,37,0.8837,56,112.3,45,97.3,47,15,246,66.1,63,0.7311,83,83.1,64,91.57,48,42,-8.47,69
2023,971,North Carolina St.,11,64,33,0.8447,25,0.898,44,113.3,85,100.7,65,12.6,87,69.2,89,0.7006,24,90.57,67,91.65,61,59,-1.08,38
2023,970,Northern Kentucky,16,64,182,0.611,178,0.7275,224,102.5,112,102.5,162,0,357,62.1,250,0.5585,278,67.45,221,104.94,197,160,-37.49,262
2023,969,Northwestern,7,32,31,0.846,21,0.9039,107,108.5,13,93.2,42,15.3,306,64.9,35,0.7503,151,76.95,33,87.39,31,39,-10.44,76
2023,968,Oral Roberts,12,64,73,0.7888,66,0.8633,25,115.2,106,102.1,63,13.1,35,70.5,261,0.5523,17,94.02,74,92.57,69,63,1.45,27
2023,967,Penn St.,10,32,47,0.8277,35,0.885,20,117,97,101.5,39,15.5,314,64.6,31,0.7535,41,88.11,175,101.03,101,37,-12.92,90
2023,966,Pittsburgh,11,32,72,0.7908,59,0.8664,23,115.5,151,104.1,79,11.4,171,67.4,103,0.6812,26,90.28,143,98.82,105,77,-8.54,71
2023,965,Princeton,15,16,98,0.7322,85,0.8436,103,109.2,136,103.5,111,5.7,171,67.4,186,0.5944,102,81.34,131,98.04,112,112,-16.7,108
2023,964,Providence,11,64,42,0.8338,33,0.8878,17,117.4,109,102.3,45,15.1,195,66.9,73,0.7164,18,93.37,108,95.86,74,48,-2.49,47
2023,963,Purdue,1,64,10,0.9315,7,0.9526,10,119.3,25,94.4,8,24.9,318,64.5,25,0.7561,21,91.48,54,90.67,24,3,0.81,29
2023,962,Saint Mary's,5,32,20,0.8806,14,0.9223,48,113.1,7,91,12,22.1,359,61.8,52,0.7371,95,81.85,32,86.62,16,8,-4.77,55
2023,961,San Diego St.,5,2,17,0.8864,18,0.9119,69,111.5,6,90.7,14,20.8,265,65.8,23,0.7599,79,83.33,14,82.94,8,13,0.39,30
2023,960,Southeast Missouri St.,16,68,262,0.4872,253,0.6557,242,101.6,267,109.5,255,-7.9,4,72.7,346,0.4889,180,75.19,122,97.37,188,248,-22.18,148
2023,959,TCU,6,32,28,0.8498,34,0.8858,49,113,23,94.3,25,18.7,50,69.8,41,0.7452,35,89.49,8,81.44,15,31,8.05,15
2023,958,Tennessee,4,16,12,0.8989,20,0.9073,53,112.7,2,87.5,7,25.2,277,65.5,28,0.7553,71,84.1,4,77.96,4,5,6.14,17
2023,957,Texas,2,8,6,0.9411,8,0.9455,19,117.2,11,91.6,5,25.6,90,69.1,4,0.8007,15,95.61,6,78.88,5,7,16.73,5
2023,956,Texas A&M,7,64,23,0.8684,22,0.9017,32,114.5,30,95.4,22,19.1,236,66.2,58,0.7346,40,88.28,41,88.47,29,22,-0.19,33
