YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF PRESEASON RANK,PRESEASON RPPF RATING,RPPF RATING CHANGE RANK,RPPF RATING CHANGE,RPPF RATING RANK CHANGE RANK
2022,934,Chattanooga,13,64,140,0.6426,37,0.087,64
2022,933,Colgate,14,64,81,0.7299,301,-0.1002,-57
2022,932,Colorado St.,6,64,48,0.7754,151,0.0008,8
2022,931,Connecticut,5,64,19,0.835,178,-0.0148,1
2022,930,Creighton,9,32,65,0.751,139,0.0067,8
2022,929,Davidson,10,64,125,0.657,19,0.1157,83
2022,928,Delaware,15,64,160,0.613,71,0.0456,42
2022,927,Duke,2,4,10,0.8765,133,0.0087,3
2022,926,Georgia St.,16,64,122,0.6633,236,-0.0482,-25
2022,925,Gonzaga,1,16,1,0.979,132,0.0111,0
2022,924,Houston,5,8,15,0.8534,68,0.0474,12
2022,923,Illinois,4,32,3,0.9129,276,-0.075,-12
2022,922,Indiana,12,64,30,0.8126,165,-0.0084,3
2022,921,Iowa,5,64,50,0.7718,34,0.0897,40
2022,920,Iowa St.,11,16,188,0.5734,3,0.1973,143
2022,919,Jacksonville St.,15,64,100,0.7004,243,-0.0516,-26
2022,918,Kansas,1,1,2,0.9131,173,-0.013,-2
2022,917,Kentucky,2,64,17,0.8473,74,0.0446,12
2022,916,Longwood,14,64,202,0.5535,70,0.046,43
2022,915,Loyola Chicago,10,64,33,0.8,150,0.0009,4
2022,914,LSU,6,64,43,0.7821,90,0.034,22
2022,913,Marquette,9,64,91,0.7155,95,0.0324,26
2022,912,Memphis,9,32,5,0.8941,295,-0.0919,-23
2022,911,Miami FL,10,8,84,0.7256,77,0.043,35
2022,910,Michigan,11,16,4,0.91,305,-0.1047,-22
2022,909,Michigan St.,7,32,28,0.8185,215,-0.0347,-7
2022,908,Montana St.,14,64,207,0.5477,36,0.0885,73
2022,907,Murray St.,7,32,86,0.721,64,0.0494,40
2022,906,New Mexico St.,12,32,97,0.7053,143,0.005,13
2022,905,Norfolk St.,16,64,289,0.4392,25,0.1045,87
2022,904,North Carolina,8,2,25,0.8245,182,-0.0156,0
2022,903,Notre Dame,11,32,45,0.7791,168,-0.01,-3
2022,902,Ohio St.,7,32,11,0.8699,282,-0.0829,-21
2022,901,Providence,4,16,52,0.7684,149,0.001,5
2022,900,Purdue,3,16,6,0.8936,239,-0.0496,-8
2022,899,Richmond,12,32,46,0.7788,255,-0.0602,-35
2022,898,Rutgers,11,68,60,0.7574,261,-0.0652,-32
2022,897,Saint Mary's,5,32,41,0.7874,109,0.0241,18
2022,896,Saint Peter's,15,8,143,0.6403,140,0.0066,15
2022,895,San Diego St.,8,64,36,0.7967,183,-0.016,-1
2022,894,San Francisco,10,64,47,0.7762,62,0.0537,31
2022,893,Seton Hall,8,64,34,0.7985,194,-0.0209,-5
2022,892,South Dakota St.,13,64,102,0.6946,98,0.0297,25
2022,891,TCU,9,32,82,0.7268,56,0.0593,49
2022,890,Tennessee,3,32,16,0.8533,124,0.0151,8
2022,889,Texas,6,32,9,0.8799,256,-0.061,-10
2022,888,Texas A&M Corpus Chris,16,68,333,0.3591,11,0.1417,103
2022,887,Texas Southern,16,64,252,0.5021,59,0.0558,62
2022,886,Texas Tech,3,16,27,0.8206,94,0.0324,14
2022,885,UAB,12,64,61,0.7571,156,-0.0019,2
2022,884,UCLA,4,16,7,0.8927,199,-0.0256,-2
2022,883,USC,7,64,22,0.8276,231,-0.0439,-14
2022,882,Vermont,13,64,103,0.6917,69,0.0474,33
2022,881,Villanova,2,4,12,0.8578,146,0.0035,1
2022,880,Virginia Tech,11,64,44,0.7799,73,0.0454,27
2022,879,Wisconsin,3,32,53,0.7676,79,0.0418,29
2022,878,Wright St.,16,64,112,0.6761,325,-0.1296,-88
2022,877,Wyoming,12,68,127,0.656,40,0.0814,56
2022,876,Yale,14,64,121,0.6648,240,-0.0511,-28
2021,875,Abilene Christian,14,32,125,0.6488,93,0.0743,29
2021,874,Alabama,2,16,35,0.7966,98,0.0703,24
2021,873,Appalachian St.,16,68,244,0.4607,141,0.0389,15
2021,872,Arkansas,3,8,58,0.7606,79,0.0873,37
2021,871,Baylor,1,1,2,0.9028,183,0.0064,-3
2021,870,BYU,6,64,55,0.7629,69,0.0936,37
2021,869,Clemson,7,64,65,0.7544,156,0.0235,3
2021,868,Cleveland St.,15,64,193,0.532,115,0.0631,14
2021,867,Colgate,14,64,162,0.5754,6,0.2234,114
2021,866,Colorado,5,32,56,0.7629,64,0.1017,43
2021,865,Connecticut,7,64,36,0.7965,100,0.0699,24
2021,864,Creighton,5,16,10,0.8548,200,-0.0048,-9
2021,863,Drake,11,64,136,0.6269,39,0.1325,66
2021,862,Drexel,16,64,167,0.5664,85,0.0809,34
2021,861,Eastern Washington,14,64,156,0.5854,26,0.1536,72
2021,860,Florida,7,32,14,0.8424,213,-0.013,-17
2021,859,Florida St.,4,16,15,0.8387,176,0.0105,-5
2021,858,Georgetown,12,64,117,0.6623,36,0.1397,74
2021,857,Georgia Tech,9,64,53,0.764,116,0.062,19
2021,856,Gonzaga,1,2,1,0.9704,164,0.0212,-1
2021,855,Grand Canyon,15,64,174,0.555,17,0.1865,92
2021,854,Hartford,16,64,257,0.4377,61,0.1067,56
2021,853,Houston,2,4,24,0.8198,76,0.0887,18
2021,852,Illinois,1,32,16,0.8349,70,0.0933,13
2021,851,Iona,15,64,254,0.4424,12,0.2085,126
2021,850,Iowa,2,32,23,0.8231,78,0.088,19
2021,849,Kansas,3,32,8,0.87,242,-0.0345,-18
2021,848,Liberty,13,64,165,0.569,28,0.1523,68
2021,847,Loyola Chicago,8,16,44,0.7735,97,0.0717,21
2021,846,LSU,8,32,48,0.7678,118,0.0612,16
2021,845,Maryland,10,32,69,0.7469,114,0.0638,29
2021,844,Michigan,1,8,9,0.857,134,0.0461,2
2021,843,Michigan St.,11,68,12,0.8539,327,-0.1328,-86
2021,842,Missouri,9,64,54,0.7634,120,0.0595,18
2021,841,Morehead St.,14,64,280,0.4138,5,0.2305,144
2021,840,Mount St. Mary's,16,68,258,0.4375,90,0.0768,41
2021,839,Norfolk St.,16,64,192,0.5354,170,0.0146,-6
2021,838,North Carolina,8,64,20,0.8313,206,-0.0087,-17
2021,837,North Texas,13,32,70,0.7467,188,0.0044,-6
2021,836,Ohio,13,32,119,0.6563,53,0.117,56
2021,835,Ohio St.,2,64,13,0.8504,155,0.0247,5
2021,834,Oklahoma,8,32,28,0.8069,203,-0.007,-18
2021,833,Oklahoma St.,4,32,40,0.7803,126,0.0514,10
2021,832,Oral Roberts,15,16,208,0.5089,49,0.1262,64
2021,831,Oregon,7,16,17,0.8346,193,-0.0013,-12
2021,830,Oregon St.,12,8,133,0.6288,34,0.1421,66
2021,829,Purdue,4,64,41,0.7773,105,0.0668,17
2021,828,Rutgers,10,32,30,0.8044,212,-0.0126,-23
2021,827,San Diego St.,6,64,60,0.757,60,0.1103,50
2021,826,St. Bonaventure,9,64,92,0.704,45,0.1295,64
2021,825,Syracuse,11,16,25,0.8161,233,-0.0256,-30
2021,824,Tennessee,5,64,21,0.8261,145,0.0322,5
2021,823,Texas,3,64,7,0.8709,195,-0.0031,-2
2021,822,Texas Southern,16,64,215,0.4992,129,0.051,18
2021,821,Texas Tech,6,32,5,0.879,239,-0.0313,-17
2021,820,UC Santa Barbara,12,64,168,0.5628,13,0.2084,102
2021,819,UCLA,11,4,37,0.7962,177,0.0105,-4
2021,818,UNC Greensboro,13,64,74,0.7381,270,-0.0554,-39
2021,817,USC,6,8,63,0.7553,62,0.1053,48
2021,816,Utah St.,11,64,91,0.7062,77,0.0881,40
2021,815,VCU,10,64,114,0.6668,50,0.1256,62
2021,814,Villanova,5,16,6,0.8747,263,-0.0505,-29
2021,813,Virginia,4,64,19,0.8324,179,0.0071,-6
2021,812,Virginia Tech,10,64,51,0.7662,167,0.0196,-6
2021,811,West Virginia,3,32,4,0.893,244,-0.0353,-13
2021,810,Wichita St.,11,68,79,0.7273,146,0.0321,8
2021,809,Winthrop,12,64,143,0.6174,63,0.1027,44
